,u1,u2,u3,u4
46,-0.12572335317856861,-5.2845840442419556e-05,2.504412127060915e-06,-2.739398567428434e-07
47,-0.15561905038820725,-5.283039270531836e-05,2.5081553742752684e-06,-2.7462506678416104e-07
48,-0.15354803631907987,-5.28314628419525e-05,2.5078960621210292e-06,-2.7457759909589015e-07
49,-0.08201277388428034,-5.286842662035016e-05,2.4989391152415704e-06,-2.7293800929859e-07
50,-0.14294931725942805,-5.283693942357137e-05,2.506568994037682e-06,-2.743346762205994e-07
51,-0.15596015858782825,-5.2830216447534816e-05,2.5081980845124357e-06,-2.746328849916392e-07
52,-0.14404573647249547,-5.283637288064919e-05,2.506706276942867e-06,-2.7435980617321555e-07
53,-0.1376621401653029,-5.2839671419429915e-05,2.505906985361745e-06,-2.742134940046514e-07
54,-0.14438684467211646,-5.2836196622864814e-05,2.5067489871800017e-06,-2.7436762438069467e-07
55,-0.1567885642154792,-5.282978839293567e-05,2.5083018093739188e-06,-2.746518720669284e-07
56,-0.10004277872138923,-5.2859110136682614e-05,2.501196656348895e-06,-2.733512574082608e-07
57,-0.1309861654012923,-5.284312103636772e-05,2.505071085005839e-06,-2.7406048051539583e-07
58,-0.1322531387141702,-5.284246636449868e-05,2.505229723029678e-06,-2.7408951957177423e-07
59,-0.11263941723596392,-5.285260118795826e-05,2.502773884392804e-06,-2.7363997264164727e-07
60,-0.013596214988872583,-5.2903778898820175e-05,2.490372661959177e-06,-2.713699002554145e-07
61,-0.1290126108177709,-5.284414081361182e-05,2.5048239757766474e-06,-2.740152466006929e-07
62,-0.10413607711684095,-5.285699504309548e-05,2.5017091791948494e-06,-2.7344507589803045e-07
63,-0.09643677775396743,-5.286097343341335e-05,2.5007451481273975e-06,-2.732686077863317e-07
64,-0.1262106506065986,-5.2845588645563994e-05,2.5044731416855124e-06,-2.739510256106711e-07
65,-0.10959380831077663,-5.285417491831824e-05,2.502392542989511e-06,-2.735701672177114e-07
66,-0.10995928138179908,-5.285398607065901e-05,2.5024383039578694e-06,-2.73578543868588e-07
67,-0.06198484959224857,-5.2878775471075243e-05,2.496431414173952e-06,-2.72478968830827e-07
68,-0.10686494271380878,-5.285558498071359e-05,2.5020508610920908e-06,-2.735076215578686e-07
69,-0.09901945412252627,-5.285963891008918e-05,2.501068525637301e-06,-2.733278027858259e-07
70,0.013205143552775732,-5.291762772588398e-05,2.4870168576105627e-06,-2.7075561252481647e-07
71,-0.04644006163809254,-5.28868077907687e-05,2.494485047651792e-06,-2.7212268194708126e-07
72,-0.13649262633803094,-5.2840275731921964e-05,2.505760550262813e-06,-2.741866887218708e-07
73,-0.0935373580571891,-5.2862471624687014e-05,2.5003821111115727e-06,-2.7320215302275444e-07
74,-0.12959736773140687,-5.28438386573923e-05,2.5048971933259025e-06,-2.7402864924209747e-07
75,-0.03659665359188716,-5.289189408724936e-05,2.4932525522365053e-06,-2.718970708169382e-07
